CODE,MIN,MODE,MAX,COMMENTS
228643004,0.0,0.0,0.0,"T2017,T2019"
277132007,0.0,0.0,0.0,T2036
15822000,18.49,102.37,164.9,"V2624,V2625"
122469009,0.0,72.48,130.24,V2626
29358007,0.0,62.12,156.16,V2628
60656008,0.0,1690.84,3655.6,V2785
43362002,0.02,0.25,1.1,V5011
290036002,0.02,0.25,1.1,V5011
225680006,0.0,0.06,0.38,V5014
410110000,0.0,0.15,0.75,V5020
108250004,-4.18,0.67,16.54,V5299
308452008,0.0,0.0,0.0,V5362
306086003,0.0,0.0,0.0,V5363
117010004,0.0,0.0,0.0,P7001
167271000,0.0,0.01,0.3,A4250
228557008,0.0,0.0,0.0,H2020
268556000,0.0,0.01,0.3,A4250
395123002,0.0,0.01,0.3,A4250
398171003,0.0,0.02,0.63,V5008
446573003,0.0,0.0,0.0,G8851
473231009,0.0,0.12,1.49,H2010
711446003,0.0,743.95,1528.61,L5701
16335031000119100,0.15,11.82,43.09,G0288
11466000,0.0,181.49,363.13,59514
68254000,0.0,69.78,254.51,58301
104375008,0.97,12.6,37.05,86804
167252002,0.01,2.89,8.39,81025
65200003,0.48,6.91,79.14,58300
269828009,0.0,7.31,16.8,86780
